,P_Cog,P_Aff,P_Beh,C_Cog,C_Aff,C_Beh,FSI
P_Cog,1.0,0.15023975826804184,0.15853712992260302,0.6008913780322993,0.1891842146389461,0.1744933378218578,0.1328628059228453
P_Aff,0.15023975826804184,1.0,0.15820596327370787,0.22992809986009916,0.5732981644361032,0.2184457634245255,0.14643558880576027
P_Beh,0.15853712992260302,0.15820596327370787,1.0,0.18474025351661758,0.1961368683014375,0.45908528436742463,0.12124560174917792
C_Cog,0.6008913780322993,0.22992809986009916,0.18474025351661758,1.0,0.5215651567956191,0.5168089609543239,0.5519192180561596
C_Aff,0.1891842146389461,0.5732981644361032,0.1961368683014375,0.5215651567956191,1.0,0.6013142450756856,0.6480032073047773
C_Beh,0.1744933378218578,0.2184457634245255,0.45908528436742463,0.5168089609543239,0.6013142450756856,1.0,0.6988302132781393
FSI,0.1328628059228453,0.14643558880576027,0.12124560174917792,0.5519192180561596,0.6480032073047773,0.6988302132781393,1.0
