,P_Cog,P_Aff,P_Beh,C_Cog,C_Aff,C_Beh,FSI
P_Cog,1.0,0.15034415454601466,0.15860301861933102,0.6009678674043445,0.18931521632085038,0.17462253600829128,0.13297914305222705
P_Aff,0.15034415454601466,1.0,0.15820596327370787,0.22998981568683818,0.5732981644361032,0.2184457634245255,0.14643558880576027
P_Beh,0.15860301861933102,0.15820596327370787,1.0,0.18467286688369874,0.1961368683014375,0.45908528436742463,0.12124560174917792
C_Cog,0.6009678674043445,0.22998981568683818,0.18467286688369874,1.0,0.5216501426872968,0.5168452911090641,0.5520099741993424
C_Aff,0.18931521632085038,0.5732981644361032,0.1961368683014375,0.5216501426872968,1.0,0.6013142450756856,0.6480032073047773
C_Beh,0.17462253600829128,0.2184457634245255,0.45908528436742463,0.5168452911090641,0.6013142450756856,1.0,0.6988302132781393
FSI,0.13297914305222705,0.14643558880576027,0.12124560174917792,0.5520099741993424,0.6480032073047773,0.6988302132781393,1.0
